;Current Official Name of Satellite;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Launch Mass (kg.);Dry Mass (kg.);Date of Launch;Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Vehicle;Comments;Country of Operator/Owner_agg;Country of Contractor_agg;Launcher_country;Purpose_agg
913;IGS Optical 7;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation;Optical Imaging;LEO;1600.0;;2020;5.0;Mitsubishi Electric;Japan;H2A;Optical reconnaissance.;Japan;Japan;Japan;earth_observation_and_surveillance
914;IGS Radar 5;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation;Radar Imaging;LEO;1600.0;;2017;5.0;Mitsubishi Electric;Japan;H2A;Radar reconnaissance.;Japan;Japan;Japan;earth_observation_and_surveillance
915;IGS Radar 6;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation;Radar Imaging;LEO;1600.0;;2018;5.0;Mitsubishi Electric;Japan;H2A;Radar reconnaissance.;Japan;Japan;Japan;earth_observation_and_surveillance
916;IGS-5A;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation;Optical Imaging;LEO;1600.0;;2009;5.0;Mitsubishi/Toshiba;Japan;H2A;Optical reconnaissance.;Japan;Japan;Japan;earth_observation_and_surveillance
917;IGS-6A;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation;Optical Imaging;LEO;1600.0;;2011;5.0;Mitsubishi/Toshiba;Japan;H2A;Radar reconnaissance.;Japan;Japan;Japan;earth_observation_and_surveillance
918;IGS-7A;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation;Radar Imaging;LEO;1600.0;;2011;5.0;Mitsubishi/Toshiba;Japan;H2A;Radar reconnaissance.;Japan;Japan;Japan;earth_observation_and_surveillance
919;IGS-8A;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation;Radar Imaging;LEO;1600.0;;2013;5.0;Mitsubishi Electric;Japan;H2A;Radar reconnaissance.;Japan;Japan;Japan;earth_observation_and_surveillance
920;IGS-8B;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation;Optical Imaging;LEO;1600.0;;2013;5.0;Mitsubishi Electric;Japan;H2A;Optical demonstration satellite.;Japan;Japan;Japan;earth_observation_and_surveillance
921;IGS-9A;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation;Radar Imaging;LEO;1600.0;;2015;5.0;Mitsubishi Electric;Japan;H2A;Radar reconnaissance.;Japan;Japan;Japan;earth_observation_and_surveillance
922;USA 184;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Electronic Intelligence;Elliptical;4000.0;;2006;;National Reconnaissance Laboratory;USA;Delta 4;"Speculation on purpose - HEO indicates possible SBIRS-HEO test payload; may also carry NASA's TWINS-A science payload to map the Earth's magnetosphere.";USA;USA;USA;earth_observation_and_surveillance
923;USA 200;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Electronic Intelligence;Elliptical;4200.0;;2008;;National Reconnaissance Laboratory;USA;Atlas 5;Reported to be carrying signals intelligence and early warning payloads.;USA;USA;USA;earth_observation_and_surveillance
924;USA 259;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Electronic Intelligence;Elliptical;4200.0;;2014;;National Reconnaissance Laboratory;USA;Atlas 5;NROL-35 will not carry a TWINS payload, it is likely that it will play host to the third SBIRS-HEO instrument.;USA;USA;USA;earth_observation_and_surveillance
925;USA 278;USA;National Reconnaissance Office (NRO);Military;Earth Observation;Electronic Intelligence;Elliptical;8000.0;;2017;;National Reconnaissance Laboratory;USA;Atlas 5;;USA;USA;USA;earth_observation_and_surveillance
928;INMARSAT 4 F1;United Kingdom;INMARSAT, Ltd.;Commercial;Communications;;GEO;5959.0;;2005;15.0;EADS Astrium;France/UK/Germany;Atlas 5;"Nearly the size of a double-decker bus; more than 600 channels.";EU;ROW;USA;communication_and_positionning
929;INMARSAT 4 F2;United Kingdom;INMARSAT, Ltd.;Commercial;Communications;;GEO;5458.0;;2005;15.0;EADS Astrium;France/UK/Germany;Zenit 3SL;"Nearly the size of a double-decker bus; more than 600 channels.";EU;ROW;ROW;communication_and_positionning
930;INMARSAT 4 F3;United Kingdom;INMARSAT, Ltd.;Commercial;Communications;;GEO;5960.0;;2008;15.0;EADS Astrium;France/UK/Germany;Proton M;200 spot-beams to relay messages from mobile phones based on land, sea, or air.;EU;ROW;Russia;communication_and_positionning
931;INMARSAT 5 F1;United Kingdom;INMARSAT, Ltd.;Commercial;Communications;;GEO;6070.0;3750;2013;15.0;Boeing Corp.;USA;Proton M;Support for the Broadband Global Area Network (B-GAN) for internet and intranet use, video on demand, video-conferencing, fax, e-mail, telephone and high-speed LAN access.;EU;USA;Russia;communication_and_positionning
932;INMARSAT 5 F2;United Kingdom;INMARSAT, Ltd.;Commercial;Communications;;GEO;6105.0;3360;2015;15.0;Boeing Corp.;USA;Proton M;;EU;USA;Russia;communication_and_positionning
933;INMARSAT 5 F3;United Kingdom;INMARSAT, Ltd.;Commercial;Communications;;GEO;6100.0;;2015;15.0;Boeing Corp.;USA;Proton M;Part of Global Xpress segment.;EU;USA;Russia;communication_and_positionning
934;INMARSAT 5 F4;United Kingdom;INMARSAT, Ltd.;Commercial;Communications;;GEO;6086.0;;2017;15.0;Boeing Corp.;USA;Falcon 9;4th satellite in Global Xpress system.;EU;USA;USA;communication_and_positionning
935;INMARSAT 5 F5;United Kingdom;INMARSAT, Ltd.;Commercial;Communications;;GEO;4007.0;;2019;15.0;Thales Alenia Space;France;Ariane 5 ECA;;EU;EU;EU;communication_and_positionning
936;INMARSAT IV-A F4;United Kingdom/ESA;INMARSAT, Ltd./European Space Agency (ESA);Government/Commercial;Communications/Technology Development;;GEO;6650.0;3370;2013;15.0;Astrium;France/UK/Germany/Spain;Ariane 5 ECA;Partnership between INMARSAT and ESA. Expands INMARSAT's communications and carries 4 technology demonstration packages.;EU;ROW;EU;communication_and_positionning
937;INNOSat-2;Malaysia;Astronautic Technology Sdn. Bhd (ATSB);Government;Technology Development;;LEO;4.0;;2018;;ATSB;Malaysia;PSLV;;ROW;ROW;India;increase_mission_performance_and_technology
938;INS-1A;India;Indian Space Research Organization (ISRO);Government;Earth Observation;Optical Imaging;LEO;8.4;;2017;;ISRO Satellite Center;India;PSLV XL;Observe Earth’s surface, atmosphere and the conditions in the harsh environment of space.;India;India;USA;earth_observation_and_surveillance
939;INS-1B;India;Indian Space Research Organization (ISRO);Government;Earth Observation;Optical Imaging;LEO;8.0;;2017;;ISRO Satellite Center;India;PSLV XL;Observe Earth’s surface, atmosphere and the conditions in the harsh environment of space.;India;India;USA;earth_observation_and_surveillance
940;INS-1C;India;Indian Space Research Organization (ISRO);Government;Technology Development;;LEO;5.0;;2018;0.5;ISRO Satellite Center;India;PSLV;Development of a platform for multiple uses.;India;India;India;increase_mission_performance_and_technology
941;INSAT 3D;India;Indian Space Research Organization (ISRO);Government;Earth Observation;Meteorology;GEO;2090.0;;2013;;ISRO Satellite Center;India;Ariane 5 ECA;Advanced meteorological payloads plus a Data Relay Transponder and a Satellite Aided Search & Rescue payload;India;India;EU;earth_observation_and_surveillance
942;INSAT 3DR;India;Indian Space Research Organization (ISRO);Government;Earth Observation;Meteorology;GEO;2200.0;;2016;10.0;ISRO Satellite Center;India;GSLV Mk.2;Carries color and infrared cameras to image storms day and night, and a sounder to collect temperature, humidity and ozone data in different layers of the atmosphere. The satellite will also relay observations from remote weather station and ocean buoys to forecast centers, and monitor for distress signals from ships, airplanes and others in need of rescue.;India;India;India;earth_observation_and_surveillance
943;INSAT 4B;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;3028.0;1335;2007;;Indian Space Research Organization (ISRO);India;Ariane 5 ECA;"Television and telecommunications services; 12 Ku-band and 12 C-band transponders, Indian sub-continent.";India;India;EU;communication_and_positionning
944;INSAT 4CR;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;2130.0;;2007;12.0;Indian Space Research Organization (ISRO);India;GSLV F04;12 high-power Ku-band transponders designed to provide Direct-to-home (DTH) television services, Video Picture Transmission (VPT) and Digital Satellite News Gathering (DSNG).;India;India;India;communication_and_positionning
945;INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL);ESA/USA/Russia;European Space Operations Centre (ESOC)/NASA/Russia;Government;Space Science;;Elliptical;4000.0;3414;2002;2.0;Alenia Aerospazio (and 28 subcontractors);Italy/International;Proton;Astronomical satellite for observing the gamma-ray sky.;Int_coop;ROW;Russia;space_science
946;Intelsat 10;USA;PanAmSat (Intelsat S.A.);Commercial;Communications;;GEO;3739.0;2510;2001;15.0;Boeing Satellite Systems;USA;Proton;"Direct-to-home video channels; 24 C-band, 24 Ku-band; Asia, Africa, Middle East, Europe.";USA;USA;Russia;communication_and_positionning
947;Intelsat 10-02;USA;Intelsat S.A.;Commercial;Communications;;GEO;5576.0;;2004;13.0;EADS Astrium;UK/France/Germany/Spain;Proton;"Television, data, and other telecommunication services to Europe, Africa and the Middle East; 36 Ku-band, 70 C-band transponders.";USA;ROW;Russia;communication_and_positionning
948;Intelsat 11;USA;PanAmSat (Intelsat S.A.);Commercial;Communications;;GEO;2491.0;;2007;15.0;Orbital Sciences Corp.;USA;Ariane 5;25 C-band, 18 Ku-band transponders, services to Latin America.;USA;USA;EU;communication_and_positionning
949;Intelsat 12;USA;Intelsat S.A.;Commercial;Communications;;GEO;4167.0;1729;2000;18.0;Alcatel Space Industries;France;Ariane 44LP;"30 Ku-band; highest powered Ku-band cross connection between South East Asia and Europe.";USA;EU;EU;communication_and_positionning
950;Intelsat 14;USA;Intelsat S.A.;Commercial;Communications;;GEO;5613.0;2517;2009;16.0;Space Systems/Loral;USA;Atlas;"62 transponders, North and South America, Africa and Europe; will also carry an experiment for the US Department of Defense. Internet Routing in Space, or IRIS, is a technology demonstration project which will allow the satellite to perform IP routing rather than requiring a ground station to do so.";USA;USA;USA;communication_and_positionning
951;Intelsat 15;USA;Intelsat S.A./Sky Perfect JSAT Corp.;Commercial;Communications;;GEO;2550.0;;2009;17.0;Orbital Sciences Corp.;USA;Zenit 3SLB;"Will replace Intelsat 709; 22 Ku-band transponders; Data and video for customers in Russisa, the Middle East and Indian ocean area. Five transponders are directly owned by Sky Perfect JSAT Corp.";USA;USA;ROW;communication_and_positionning
952;Intelsat 16;USA;Intelsat S.A.;Commercial;Communications;;GEO;2450.0;;2010;15.0;Orbital Sciences Corp.;USA;Proton M;"24 Ku-band transponders; direct-to-home to customers in Mexico and Brazil.";USA;USA;Russia;communication_and_positionning
953;Intelsat 17;USA;Intelsat S.A.;Commercial;Communications;;GEO;5540.0;2393;2010;16.0;Space Systems/Loral;USA;Ariane 5;24 C-band, 25 Ku-band transponders serving Europe, the Middle East, Africa, Russia and Asia.;USA;USA;EU;communication_and_positionning
954;Intelsat 18;USA;Intelsat S.A.;Commercial;Communications;;GEO;3200.0;;2011;15.0;Orbital Sciences Corp.;USA;Zenit;"24 C-band, 12 Ku-band; Asia Pacific Region";USA;USA;ROW;communication_and_positionning
955;Intelsat 19;USA;Intelsat S.A.;Commercial;Communications;;GEO;5600.0;;2012;15.0;Space Systems/Loral;USA;Zenit;"Replacement for Intelsat 8. Damage to a solar panel; reduced power.";USA;USA;ROW;communication_and_positionning
956;Intelsat 1R;USA;PanAmSat (Intelsat S.A.);Commercial;Communications;;GEO;4793.0;3000;2000;15.0;Boeing Satellite Systems;USA;Ariane 5;"36 C-band, 36 Ku-band; direct-to-home (DTH) digital video and Internet services; Americas, Caribbean, Europe, Africa; will be replaced by Intelsat 14.";USA;USA;EU;communication_and_positionning
957;Intelsat 20;USA;Intelsat S.A.;Commercial;Communications;;GEO;6094.0;2989;2012;18.0;Space Systems/Loral;USA;Ariane 5 ECA;Replacement for Intelsat 7 and Intelsat 10. C-band and Ku-band for DTH television, cellularbackhaul and VSAT services.;USA;USA;EU;communication_and_positionning
958;Intelsat 21;USA;Intelsat S.A.;Commercial;Communications;;GEO;5984.0;3600;2012;15.0;Boeing Satellite Systems;USA;Zenit 3SL;Will replace Intelsat 9 - Meet needs of key customers SKY Mexico, Turner, Discovery, Fox, Telespazio, etc.;USA;USA;ROW;communication_and_positionning
959;Intelsat 22;USA;Intelsat S.A.;Commercial;Communications;;GEO;6199.0;;2012;18.0;Boeing Space & Intelligence Systems;USA;Proton;Provide C-band and Ku-band communications services over Africa, Asia, Europe and the Middle East. Intelsat 22 also carries a hosted UHF payload for the Australian Defence Force.;USA;USA;Russia;communication_and_positionning
960;Intelsat 23;USA;Intelsat S.A.;Commercial;Communications;;GEO;3200.0;1503;2012;18.0;Orbital Sciences Corp.;USA;Proton M;15 Ku-band, 24 C-band. Americas, Caribbean, Western Europe, Africa.;USA;USA;Russia;communication_and_positionning
961;Intelsat 25;USA;Intelsat S.A.;Commercial;Communications;;GEO;4100.0;;2008;16.0;Space Systems/Loral;USA;Ariane 5 ECA;"First satellite of fleet; provides service in Asia. Purchased at auction by Intelsat in October, 2009 for $210 million.";USA;USA;EU;communication_and_positionning
963;Intelsat 30/DLA 1;USA;Intelsat S.A.;Commercial;Communications;;GEO;6220.0;;2014;15.0;Space Systems/Loral;USA;Ariane 5 ECA;72 Ku-band transponders and 10 C-band transponders. Hosts DLA-1, DirecTV to Latin America.;USA;USA;EU;communication_and_positionning
964;Intelsat 31/DLA 2;USA;Intelsat S.A.;Commercial;Communications;;GEO;6450.0;;2016;20.0;Space Systems/Loral;USA;Proton;DirecTV Latin America has leased all of the satellite’s Ku-band communications capacity to broadcast hundreds of high-definition television channels to customers across Central and South America and the Caribbean. Intelsat retains the use of a smaller C-band payload on the spacecraft.;USA;USA;Russia;communication_and_positionning
965;Intelsat 33;USA;Intelsat S.A.;Commercial;Communications;;GEO;6600.0;;2016;15.0;Boeing Satellite Systems;USA;Ariane 5;Equivalent of 269 Ku- and C-band transponders.;USA;USA;EU;communication_and_positionning
966;Intelsat 34;USA;Intelsat S.A.;Commercial;Communications;;GEO;3300.0;;2015;15.0;Space Systems/Loral;USA;Ariane 5;;USA;USA;EU;communication_and_positionning
967;Intelsat 35E;USA;Intelsat S.A.;Commercial;Communications;;GEO;6761.0;;2017;15.0;Boeing Satellite Systems;USA;Falcon 9;Fourth “Epic-class” relay satellite developed and launched by Intelsat, carry all-digital payloads, giving the company added flexibility in how it beams video, voice and data signals.;USA;USA;USA;communication_and_positionning
968;Intelsat 36;USA;Intelsat S.A.;Commercial;Communications;;GEO;3250.0;;2016;15.0;Space Systems/Loral;USA;Ariane 5;34 Ku-band, 10 C-band. Additional service to subsaharan Africa and East Asia.;USA;USA;EU;communication_and_positionning
969;Intelsat 37E;USA;Intelsat S.A.;Commercial;Communications;;GEO;6438.0;;2017;15.0;Boeing Satellite Systems;USA;Ariane 5;Broadband, wireless communications, television and government services across the Americas, the Atlantic Ocean, Europe and the Middle East;USA;USA;EU;communication_and_positionning
